title;text_fr;text_en;textlong_fr;textlong_en;price;ideditor;pegi
Planet Explorers;Planet Explorers;Planet Explorers;Planet Explorers est un monde sandbox jeu d'aventure RPG ouvert sur ??une planäte lointaine. Le jeu utilise un nouveau systäme de voxel OpenCL calculÇe pour permettre aux joueurs de changer le terrain de toute faáon, crÇer de nouveaux objets tels que des armes, des vÇhicules, des objets, et de le faire n'importe oó.;Planet Explorers is an open world sandbox adventure RPG game set on a distant planet. The game uses a new OpenCL calculated voxel system to allow players to change the terrain in any way, create new objects such as weapons, vehicles, objects, and do it anywhere.;22,99;;16
Euro Truck Simulator 2;Euro Truck Simulator 2;Euro Truck Simulator 2;Voyagez Ö travers l'Europe en tant que roi de la route, un chauffeur routier qui livre d'importantes cargaisons vers des destinations träs lointaines ! Avec des douzaines de villes Ö explorer du Royaume-Uni, de Belgique, d'Allemagne, d'Italie, des Pays-Bas, de Pologne et de bien d'autres pays, votre endurance, vos talents et votre...;Travel across Europe as king of the road, a trucker who delivers important cargo across impressive distances! With dozens of cities to explore from the UK, Belgium, Germany, Italy, the Netherlands, Poland, and many more, your endurance, skill and speed will all be pushed to their limits.;19,99;;12
Contagion;Contagion;Contagion;Contagion n'est pas votre moyenne Zombie Shooter mais prend place une approche plus rÇaliste et diffÇrente dans le genre populaire avec des personnages uniques, environnements, armes, objets, et construit dans le systäme qui fait de chaque tour totalement imprÇvisible avec des ressources, des objectifs et des chemins jamais Çvolution.;Contagion isn't your average Zombie Shooter but instead takes a more realistic and different approach to the popular genre with unique characters, environments, weapons, items, and a built in system that makes every round completely unpredictable with resources, objectives, and paths ever changing.;18,99;;18
Infestation: Survivor Stories;Infestation: Survivor Stories;Infestation: Survivor Stories;The War Z est un MMO de survie qui plonge les joueurs dans un monde post-apocalyptique infestÇ de zombies dans lequel une ÇpidÇmie virale a dÇcimÇ la population humaine, en laissant dans son sillage un cauchemar de proportion Çpique.;Infestation is a Survival Horror MMO that immerses players in a zombie-infested, post-apocalyptic world in which a viral outbreak has decimated the human population leaving in its wake, a nightmare of epic proportion.;4,99;;18
Craft The World;Craft The World;Craft The World;Craft The World est un jeu de stratÇgie sandbox unique, le mÇlange de Dungeon Keeper, Terraria et Dwarf Fortress. Explorez un monde gÇnÇrÇ alÇatoirement peuplÇ de crÇatures dangereuses, construire une forteresse naine, rassembler des ressources, et de l'artisanat de tous les objets, armes et armures dont vous avez besoin.;Craft The World is a unique sandbox strategy game, the mix of Dungeon Keeper, Terraria and Dwarf Fortress. Explore a random generated world populated by dangerous creatures, build a dwarf fortress, gather resources, and craft all the items, weapons, and armor you need.;14,99;;7
Shadowrun Returns;Shadowrun Returns;Shadowrun Returns;MAN MEETS MAGIC & MACHINE. L'annÇe est 2054. Magie est de retour dans le monde, rÇveillant des crÇatures puissantes du mythe et de la lÇgende. Technologie fusionne avec la chair et de la conscience. Elfes, trolls, orcs et les nains se promänent parmi nous, tandis que les sociÇtÇs impitoyables saignent le monde säche.;MAN MEETS MAGIC & MACHINE. The year is 2054. Magic has returned to the world, awakening powerful creatures of myth and legend. Technology merges with flesh and consciousness. Elves, trolls, orks and dwarves walk among us, while ruthless corporations bleed the world dry.;14,99;;12
Super Meat Boy;Super Meat Boy;Super Meat Boy;Le fameux jeu de plateforme arrive sur Steam avec un Head Crab jouable;The infamous, tough-as-nails platformer comes to Steam with a playable Head Crab character;13,99;;7
Rogue Legacy;Rogue Legacy;Rogue Legacy;"HÈritage Rogue est un faux-gÇnÇalogique ""LITE"" oó tout le monde peut àtre un hÇros. Chaque fois que vous mourrez, votre enfant vous rÇussir. Chaque enfant est unique. Un enfant peut àtre daltonien, un autre pourrait avoir le vertige - elles peuvent màme àtre un nain. C'est OK, parce que personne n'est parfait, et vous n'avez pas Ö àtre parfait pour gagner ce match.";"Rogue Legacy is a genealogical rogue-""LITE"" where anyone can be a hero. Each time you die, your child will succeed you. Every child is unique. One child might be colorblind, another might have vertigo-- they could even be a dwarf. That's OK, because no one is perfect, and you don't have to be perfect to win this game.";13,99;;12
Darkwood;Darkwood;Darkwood;Darkwood est un jeu de survie, l'exploration et la peur situÇe dans les bois mystÇrieux, quelque part dans le territoire du Bloc soviÇtique. En mÇlangeant RPG, Rogue et ÇlÇments d'aventure avec une difficultÇ difficile, Darkwood vise Ö satisfaire les joueurs en manque de une expÇrience profonde et enrichissante.;Darkwood is a game about survival, exploration and fear set in mysterious woods somewhere in the territory of the Soviet Bloc. By blending RPG, roguelike and adventure elements together with a challenging difficulty, Darkwood aims to please players craving for a deep and rewarding experience.;16,99;;16
Wolfenstein: The New Order;Wolfenstein: The New Order;Wolfenstein: The New Order;Wolfenstein©: The New OrderTM remet au goñt du jour la sÇrie qui a crÇÇ le genre du FPS. En cours de dÇveloppement chez Machine Games, un studio composÇ d'un collectif de dÇveloppeurs aguerris et reconnus pour leurs travaux sur des jeux au scÇnario palpitant, Wolfenstein propose une histoire passionnante remplie d'action, d'aventure et..;Wolfenstein©: The New Order reignites the series that created the first-person shooter genre. Under development at Machine Games, a studio comprised of a seasoned group of developers recognized for their work creating story-driven games, Wolfenstein offers a deep game narrative packed with action, adventure and first-person combat.;49,99;;18
Dream;Dream;Dream;Entrer dans l'esprit de Howard Phillips, un jeune homme qui a dÇveloppÇ une obsession de ses ràves. Explorez des mondes uniques remplis de puzzles, des secrets et les horreurs de trouver un sens dans la vie ÇveillÇe sans direction de Howard.;Enter the mind of Howard Phillips, a young man who has developed an obsession with his dreams. Explore unique worlds filled with puzzles, secrets and horrors to find meaning in Howard?s directionless waking life.;15,99;;12
Nekro;Nekro;Nekro;"Levez dÇmons et frayer armes impies de la guerre comme un NÇcromant puissant avec une insatiable soif de sang. Personnalisez vos serviteurs Ö votre goñt et parfaire votre idÇal ""monstre loadout."" DÇchirez vos ennemis membre par membre et rÇcolter leurs cadavres pour renforcer vos magie noire.";"Raise demons and spawn unholy weapons of war as a powerful Necromancer with an insatiable blood lust. Customize your minions to your liking and perfect your ideal ""monster loadout."" Tear your enemies limb from limb and harvest their corpses to strengthen your dark magics.";19,99;;16
Tower Wars;Tower Wars;Tower Wars;Tower Wars combine des ÇlÇments de tower defense, RTS, et tout-Ö multi-joueurs chaos pour vous apporter une expÇrience tout Ö fait unique, livrÇ avec un style amusant et drìle qui n'est pas si vieux monde!;Tower Wars combines elements of tower defense, RTS, and all-out multi-player mayhem to bring you a completely unique experience, delivered with a fun and funny not-so-old world style!;6,99;;12
Endless Legend;Endless Legend;Endless Legend;Endless Legend est un jeu de stratÇgie 4X fantastique au tour par tour par les crÇateurs d'Endless Space et de Dungeon of the Endless. CrÇez votre propre LÇgende!;Endless Legend is a 4X turn-based fantasy strategy game by the creators of Endless Space and Dungeon of the Endless. Create your own Legend!;22,49;;16
NaissanceE;NaissanceE;NaissanceE;NaissanceE est une premiäre exploration personne jeu PC dÇveloppÇ sur UDK par Limasse Cinq avec la participation de Pauline Oliveros, Patricia Dallio et Thierry Zaboitzeff. L'aventure se dÇroule dans une mystÇrieuse structure primitive et le jeu consiste principalement Ö explorer et sentir l'ambiance profonde et forte de ce monde atemporel mais ...;NaissanceE is a first person exploration PC game developed on UDK by Limasse Five with the participation of Pauline Oliveros, Patricia Dallio and Thierry Zaboitzeff. The adventure takes place in a primitive mysterious structure and the game mainly consists to explore and feel the deep and strong ambiance of this atemporal world but...;14,99;;18
The 39 Steps;The 39 Steps;The 39 Steps;PrÈparez-vous ‡ dÈcouvrir le thriller homme-sur-la-course originale dans une toute nouvelle faáon. Il s'agit d'une adaptation numÇrique de livre incroyable de John Buchan (de source d'inspiration pour de Ian Fleming James Bond!). Laissez-vous transporter de 1914 Ö Londres, oó Richard Hannay se retrouve encadrÇ pour une assassiner qu'il n'a pas commis.;Prepare to experience the original man-on-the-run thriller in a completely new way. This is a digital adaptation of John Buchan's incredible book (inspiration to Ian Fleming's James Bond!). Be transported back to 1914 London, where Richard Hannay finds himself framed for a murder he didn't commit.;9,99;;16
Brothers;Brothers;Brothers;Menez deux frËres ‡ travers un voyage Èpique, par le rÈalisateur visionnaire suÈdois Josef Fares et le cÈlËbre studio de dÈveloppement Starbreeze Studios. ContrÙlez les deux frËres simultanÈment en mode solo, dans un mode coopÈratif totalement inÈdit.;Guide two brothers on an epic fairy tale journey from visionary Swedish film director, Josef Fares and top-tier developer Starbreeze Studios. Control both brothers at once as you experience co-op play in single player mode, like never before.;13,99;;16
Braid;Braid;Braid;Braid est un jeu de plateforme et d'Ènigmes dans lequel vous contrÙlez le temps de maniËre originale. Volez au secours d'une princesse et parcourez plusieurs mondes. Vous disposerez dans chaque monde de pouvoirs spÈcifiques.;Braid is a puzzle-platformer, drawn in a painterly style, where you can manipulate the flow of time in strange and unusual ways. From a house in the city, journey to a series of worlds and solve puzzles to rescue an abducted princess.;8,99;;12
Amnesia: The Dark Descent;Amnesia: The Dark Descent;Amnesia: The Dark Descent;Votre dernier souvenir s'efface et disparaÓt dans les abysses. Il vous reste une impression : celle d'Ítre traquÈ. Il faut fuir. RÈveil... Amnesia: The Dark Descent un jeu d'horreur et de survie ‡ la premiËre personne. Une expÈrience qui va vous donner des sueurs froides. Un parcours cauchemardesque.;The last remaining memories fade away into darkness. Your mind is a mess and only a feeling of being hunted remains. You must escape. Awake... Amnesia: The Dark Descent, a first person survival horror. A game about immersion, discovery and living through a nightmare. An experience that will chill you to the core.;16,49;;18
Amnesia: A Machine for Pigs;Amnesia: A Machine for Pigs;Amnesia: A Machine for Pigs;Le monde est une machine. Une machine pour les porcs. Une machine rÈservÈe ‡ líabattage des porcs. DÈcouvrez le nouveau jeu díhorreur ‡ la premiËre personne des auteurs díAmnesia: The Dark Descent et de Dear Esther, et plongez dans les profondeurs de la cupiditÈ, du pouvoir et de la folie.;This world is a Machine. A Machine for Pigs. Fit only for the slaughtering of Pigs. From the creators of Amnesia: The Dark Descent and Dear Esther comes a new first-person horrorgame that will drag you to the depths of greed, power and madness. It will bury its snout into your ribs and it will eat your heart.;16,49;;18
Starbound;Starbound;Starbound;Dans Starbound, vous prenez le rÙle d'un personnage qui vient fui leur planËte, pour crash-terre sur l'autre. De l‡, vous vous lancerez dans une quÍte pour survivre, dÈcouvrir, explorer et se frayer un chemin ‡ travers un univers infini.;In Starbound, you take on the role of a character whoís just fled from their home planet, only to crash-land on another. From there youíll embark on a quest to survive, discover, explore and fight your way across an infinite universe.;13,99;;12
Terraria;Terraria;Terraria;Creuser, survivre, explorer, construire ! Tout est possible dans ce jeu d'aventure bourrÈ d'action. Pack de 4 jeux Ègalement disponible !;Dig, fight, explore, build! Nothing is impossible in this action-packed adventure game. Four Pack also available!;9,99;;12
Project Zomboid;Project Zomboid;Project Zomboid;Projet Zomboid est un bac ‡ sable infestÈ de zombies ouverte qui demande une simple question - comment allez-vous mourir?;Project Zomboid is an open-ended zombie-infested sandbox that asks one simple question ñ how will you die?;13,99;;18
Caribbean!;Caribbean!;Caribbean!;CaraÔbes! est un pirate sandbox RPG avec un accent plus important sur les batailles (‡ la fois sur terre et dans la mer) et de la gestion du caractËre de joueur et son Èquipage.;Caribbean! is a sandbox pirate RPG with a larger focus on battles (both on land and in the sea) and management of player's character and his crew.;13,99;;18
Chivalry: Medieval Warfare;Chivalry: Medieval Warfare;Chivalry: Medieval Warfare;AssiËgez des ch‚teaux et pillez des villages dans Chivalry: Medieval Warfare, un jeu de first person slasher mÈdiÈval au rythme rapide et axÈ sur des batailles en multijoueur;Besiege castles and raid villages in Chivalry: Medieval Warfare, a fast-paced medieval first person slasher with a focus on multiplayer battles;22,99;;18
Perpetuum;Perpetuum;Perpetuum;Perpetuum est un bac ‡ sable, serveur unique persistant, massivement multijoueur de science-fiction rpg (MMORPG). ContrÙler d'Ènormes robots et machines d'avoir accËs ‡ des ressources et des connaissances d'une planËte alien, amasser Ènorme richesse, ou mÍme rÈclamer une partie du monde pour vous-mÍme en utilisant la terraformation et une infrastructure complexe.;Perpetuum is a persistent, sandbox, single server, massively multiplayer sci-fi rpg (MMORPG). Control huge robots and mechs to gain access to an alien planet's resources and knowledge, amass huge wealth, or even claim part of the world for yourself using terraforming and complex infrastructure.;28,99;;16
Papers, Please;Papers, Please;Papers, Please;FÈlicitations. Le travail loterie Octobre est complet. Votre nom a ÈtÈ tirÈ. Pour le placement immÈdiat, rapport au MinistËre de l'admission ‡ la frontiËre Checkpoint Grestin. Un appartement sera fourni pour vous et votre famille dans l'Est Grestin. Attendez-vous ‡ un logement de classe 8.;Congratulations. The October labor lottery is complete. Your name was pulled. For immediate placement, report to the The Ministry of Admission at Grestin Border Checkpoint. An apartment will be provided for you and your family in East Grestin. Expect a Class-8 dwelling.;8,99;;16
The Stanley Parable;The Stanley Parable;The Stanley Parable;Le Stanley parabole est un jeu d'exploration ‡ la premiËre personne. Vous jouerez le rÙle de Stanley, et vous ne serez pas jouer comme Stanley. Vous allez suivre une histoire, vous ne serez pas suivre une histoire. Vous aurez le choix, vous n'aurez pas le choix. Le jeu se termine, le jeu ne finira jamais.;The Stanley Parable is a first person exploration game. You will play as Stanley, and you will not play as Stanley. You will follow a story, you will not follow a story. You will have a choice, you will have no choice. The game will end, the game will never end.;11,99;;18
Insurgency;Insurgency;Insurgency;Descendre dans la rue pour intense combat rapprochÈ, o˘ la survie d'une Èquipe dÈpend de la sÈcurisation des bastions essentiels et dÈtruire l'approvisionnement de l'ennemi dans ce mode multijoueur et coopÈratif Source Engine basÈ sur l'expÈrience.;Take to the streets for intense close quarters combat, where a team's survival depends upon securing crucial strongholds and destroying enemy supply in this multiplayer and cooperative Source Engine based experience.;14,99;;18
RUNNING WITH RIFLES;RUNNING WITH RIFLES;RUNNING WITH RIFLES;RUNNING WITH RIFLES est un jeu de tir tactique en vue de dessus incluant des ÈlÈments de RPG dans un monde ouvert. Dans RWR, vous rejoignez les rangs de l'armÈe en tant que soldat ordinaire, comme la plupart des milliers autour de vous.;RUNNING WITH RIFLES is a top-down tactical shooter with open world RPG elements. In RWR, you join the ranks of an army as a common soldier, just like the thousands around you.;9,99;;16
